ticker,quarter_key,soe,ln_assets,accruals
LNN,2025-Q1,0.03945540632657197,20.517698170871554,
LNN,2025-Q2,0.028295929301206023,20.549939303359395,-0.010546307781410288
LNN,2025-Q3,0.013468738255735958,20.549907192975787,-0.07407865505282837
LNN,2025-Q4,0.023666103331723806,20.535006687485705,0.0245702559150169
LNN,2026-Q1,0.015535746901266712,20.54614791771605,-0.01329623090412699
EPAC,2025-Q1,0.039684430234848904,20.47047074159027,
EPAC,2025-Q2,0.04533609305111435,20.534649308326763,-0.007007573927912436
EPAC,2025-Q3,0.048121256192117816,20.53436307142815,-0.027295447215555154
EPAC,2025-Q4,0.03482625378792046,20.522447463913796,0.017348339549251218
EPAC,2026-Q1,0.03557910483409701,20.49447512036724,0.01547212741751991
CIIT,2024-Q4,-0.13075214571916471,13.70566220925367,
CIIT,2025-Q1,-0.13681059786806735,13.562886701327557,0.04154178896956589
CIIT,2025-Q2,-0.2135542764448285,15.32509388038583,0.10464999353569017
CIIT,2025-Q4,-0.0851903533311001,14.964616004329265,0.02549749332011565
CIIT,2026-Q1,-0.15504964016502487,14.805148772893606,0.30634165235268995
AAPL,2024-Q4,0.12448086955258149,26.56415455682061,
AAPL,2025-Q1,0.08932986749508653,26.52608789217517,-0.03814535387476489
AAPL,2025-Q2,0.08507518967103576,26.52687856350232,-0.002530958234664173
AAPL,2025-Q3,0.09026530936056854,26.607259309399666,0.0035909041562627872
AAPL,2025-Q4,0.13406908043037513,26.661585376303368,0.010619646345739617
MOG-A,2024-Q4,0.02225989336543754,22.156685167043655,
MOG-A,2025-Q1,0.022795597851944373,22.186348770626875,0.013833867183113755
MOG-A,2025-Q2,0.023912255315161304,22.20409143821225,0.008385165358299439
MOG-A,2025-Q3,0.026034019007897553,22.210774505068326,-0.03755036934696925
MOG-A,2025-Q4,0.026504797015219822,22.238809027343024,0.029746525236862994
FFIV,2024-Q4,0.03667449011048122,22.49832682602454,
FFIV,2025-Q1,0.02690170635208853,22.499332312753104,-0.008581112207628886
FFIV,2025-Q2,0.032112052361503614,22.533765113976084,-0.0075058489418252956
FFIV,2025-Q3,0.03478380857195484,22.566904662127715,0.008694053256179453
FFIV,2025-Q4,0.03403604950154823,22.562494280496512,0.021444186149268192
GFF,2024-Q4,0.04902948280370487,21.567051250192876,
GFF,2025-Q1,0.043159789431559924,21.575099537695927,0.03186854959233189
GFF,2025-Q2,0.055432324703447486,21.459146783426565,0.0024965026924477322
GFF,2025-Q3,0.060444254488555886,21.447735797005393,-0.00487488836457187
GFF,2025-Q4,0.0558958965389366,21.443445329887652,-0.010089049942524875
NTIC,2024-Q4,-0.013899123707412739,18.359205845127867,
NTIC,2025-Q1,-0.021601167376596203,18.355557667995914,-0.0030716403508081
NTIC,2025-Q2,-0.01415586242728231,18.41369017677414,-0.014475660199323928
NTIC,2025-Q3,-0.012051337054120637,18.447763473545834,-0.01654689149710819
NTIC,2025-Q4,-0.013051513364607572,18.460184032562058,-0.0013152244511820275
AZTA,2024-Q4,-0.004051518462088663,21.436808606221064,
AZTA,2025-Q1,-0.006156445510976162,21.437158827317013,-0.014731197277079227
AZTA,2025-Q2,1.9810463391501808e-05,21.425935038826307,-0.03627196794667023
